,line_id,c1,c2,c3,c4,c5,c6,c7,c8,text,cb1,cb2,cb3,cb4,cb5,cb6,cb7,cb8,page_id,filepath,fontsize,spacing_upper,spacing_lower,class
13,r0_001,454,109,656,109,656,135,454,135,,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,26,135,50,Sonstiges
21,r0_002,399,135,666,135,666,185,399,185,",Bayeri?che",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,50,50,44,Sonstiges
18,r0_003,395,185,719,185,719,229,395,229,(Staatsbibliothek,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,44,44,53,Sonstiges
11,r0_004,403,229,654,229,654,282,403,282,München,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,53,53,340,Sonstiges
5,r0_005,418,586,717,586,717,622,418,622,Die reinen Frauen.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,36,340,93,Überschrift
3,r0_006,281,665,742,665,742,715,281,715,Hie reinen Frauen ?teh'n im Leben,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,50,93,200,Gedicht_start
17,r0_007,286,887,320,887,320,915,286,915,Jn,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,28,200,-162,Sonstiges
7,r0_008,340,725,777,725,777,753,340,753,"Wie Ro?en in dem dunklen Laub,",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,28,-162,45,Vers
22,r0_009,340,768,799,768,799,798,340,798,"Auf ihren Wün?chen, ihrem Streben",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,30,45,43,Vers
2,r0_010,340,810,785,810,785,841,340,841,Liegt noch der fein?te Blüthen?taub.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,43,77,Vers
9,r0_011,339,887,670,887,670,918,339,918,"ihrer Welt i?t keine Fehle,",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,77,42,Strophen_start
0,r0_012,338,930,751,930,751,960,338,960,"J?t Alles ruhig, voll und weich:",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,30,42,42,Vers
6,r0_013,338,973,710,973,710,1002,338,1002,Der Blick in eine Frauen?eele,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,29,42,44,Vers
20,r0_014,339,1015,788,1015,788,1046,339,1046,J?t wie ein Blick in's Himmelreich.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,44,77,Vers
8,r0_015,292,1092,734,1092,734,1123,292,1123,"Wohl ?oll?t du hören hohe Gei?ter,",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,77,43,Strophen_start
15,r0_016,336,1135,740,1135,740,1166,336,1166,Verehren ?oll?t du Manneskraft;,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,43,42,Vers
16,r0_017,336,1174,744,1174,744,1208,336,1208,"Dich ?ollen lehren deine Mei?ter,",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,34,42,48,Vers
19,r0_018,338,1220,813,1220,813,1256,338,1256,Was Kun?t vermag und Wi??en?chaft.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,36,48,70,Vers
14,r0_019,285,1296,773,1296,773,1326,285,1326,Doch was das Höch?te bleibt hienieden.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,30,70,44,Strophen_start
4,r0_020,336,1338,739,1338,739,1370,336,1370,"Des Ew'gen nur geahnte Spur,",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,32,44,42,Vers
1,r0_021,316,1381,798,1381,798,1412,316,1412,"Was Schönheit, Poe?ie und Frieden:",1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,31,42,40,Vers
10,r0_022,337,1424,763,1424,763,1452,337,1452,Das lehren dich die Frauen nur!,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,28,40,32,Gedicht_ende
12,r0_023,750,1465,926,1465,926,1484,750,1484,Julins Nodenderg.,1,1,1221,1,1221,1748,1,1748,0,/home/konle/Dropbox/OCR_lyric_res/polko/0001.xml,19,32,0,Autor
39,r0_001,568,140,722,140,722,162,568,162,— 4 -,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,22,0,78,Seitenzahl
51,r0_002,530,197,893,197,893,240,530,240,Lieb' und ?tirb!,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,43,78,75,Überschrift
47,r0_003,388,265,776,265,776,315,388,315,Hurh Erd' und vimmel lei?e,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,50,75,38,Gedicht_start
37,r0_004,438,323,704,323,704,353,438,353,Hinfluthet eine Wei?e,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,38,43,Vers
28,r0_005,439,366,747,366,747,396,439,396,"Wie ?anftes Harfenwehn,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,43,43,Vers
26,r0_006,438,409,752,409,752,439,438,439,"Die jedem Dinge kündet,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,43,43,Vers
46,r0_007,439,452,761,452,761,482,439,482,"Wozu es ward gegründet,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,43,42,Vers
30,r0_008,439,495,732,495,732,524,439,524,Woran es ?oll vergehn.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,29,42,44,Vers
52,r0_009,387,537,779,537,779,568,387,568,Sie ?pricht zum Adler: Dringe,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,31,44,42,Strophen_start
25,r0_010,388,580,823,580,823,610,388,610,"Zur Sonne, bis die Schwinge",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,42,42,Vers
33,r0_011,436,622,778,622,778,652,436,652,Dir trifft ein Wetter?chlag;,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,42,44,Vers
23,r0_012,437,665,850,665,850,696,437,696,"Spricht zu den Wolken: Regnet,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,31,44,43,Vers
29,r0_013,436,708,806,708,806,739,436,739,"Und wenn die Flur ge?egnet,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,31,43,47,Vers
50,r0_014,437,751,774,751,774,786,437,786,Zerrinnt am goldnen Tag.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,35,47,39,Vers
32,r0_015,385,793,858,793,858,825,385,825,Sie ?pricht zum Schwan: Durchwalle,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,39,42,Strophen_start
44,r0_016,436,835,861,835,861,867,436,867,Die Fluth und dann mit Schalle,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,42,42,Vers
45,r0_017,433,879,733,879,733,909,433,909,Ein ?elig Grab erwirb.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,42,43,Vers
48,r0_018,436,921,773,921,773,952,436,952,Sie ?pricht zur Feuernelke:,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,31,43,42,Vers
42,r0_019,436,962,832,962,832,994,436,994,Jn Duft glüh' auf und welke;,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,42,41,Vers
27,r0_020,437,1005,811,1005,811,1035,437,1035,Zum Weibe: Lieb' und ?tirb!,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,41,162,Gedicht_ende
24,r0_021,538,1162,747,1162,747,1197,538,1197,Men?chlichkeit.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,35,162,-133,Überschrift
36,r0_022,802,1046,969,1046,969,1064,802,1064,"Emannel Geibel,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,18,-133,199,Autor
38,r0_023,387,1215,816,1215,816,1263,387,1263,Jlont haben auf erarauter Erde,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,48,199,43,Gedicht_start
41,r0_024,439,1275,875,1275,875,1306,439,1306,"Die Völker zahllos ?chon gewohnt,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,31,43,43,Vers
43,r0_025,440,1319,860,1319,860,1349,440,1349,Und auf ver?chiednem Opferheerde,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,43,42,Vers
